servo1,servo2,servo3,xM,yM,zM,xA,yA,zA
0,0,0,-3.95,-8.64,4.64,-2.13,5.08,0
40,0,0,-8.32,-4.59,4.64,-5.37,2.15,0
80,0,0,-9.42,1.27,4.64,-5.77,-1.93,0
120,0,0,-6.81,6.62,4.64,-4.19,-4.96,0
160,0,0,-1.53,9.38,4.64,-1.38,-6.66,0
0,40,0,-3.03,-9.04,5.39,-2.58,5.83,4.33
40,40,0,-7.82,-5.46,5.39,-5.74,3.36,4.33
80,40,0,-9.53,0.27,5.39,-7.58,-1.30,4.33
120,40,0,-7.50,5.90,5.39,-6.75,-5.15,4.33
160,40,0,-2.51,9.20,5.39,-1.78,-7.31,4.33
0,80,0,-1.89,-9.55,5.41,-1.26,4.97,8.76
40,80,0,-7.20,-6.55,5.41,-3.74,2.40,8.76
80,80,0,-9.68,-0.97,5.41,-5.51,-1.19,8.76
120,80,0,-8.36,4.99,5.41,-4.11,-4.31,8.76
160,80,0,-3.74,8.98,5.41,-1.08,-6.02,8.76
0,120,0,-0.96,-9.95,4.67,-1.30,1.88,12.03
40,120,0,-6.70,-7.43,4.67,-1.72,0.51,12.03
80,120,0,-9.80,-1.98,4.67,-2.58,-0.91,12.03
120,120,0,-9.05,4.25,4.67,-1.66,-2.27,12.03
160,120,0,-4.74,8.80,4.67,-0.48,-3.96,12.03
0,140,0,-0.70,-10.07,4.10,-0.86,-1.29,13.35
40,140,0,-6.56,-7.67,4.10,-1.16,-1.28,13.35
80,140,0,-9.84,-2.26,4.10,-0.28,-0.97,13.35
120,140,0,-9.25,4.04,4.10,-0.27,0.20,13.35
160,140,0,-5.02,8.75,4.10,0.14,0.08,13.35
0,0,80,-3.95,-8.64,4.64,-2.59,10.67,6.24
80,0,80,-9.42,1.27,4.64,-11.34,-0.60,6.24
160,0,80,-1.53,9.38,4.64,-2.38,-11.34,6.24
0,80,80,-1.89,-9.55,5.41,-1.03,0.64,15.01
80,80,80,-9.68,-0.97,5.41,-1.00,-0.53,15.01
160,80,80,-3.74,8.98,5.41,-1.04,-1.20,15.01
0,160,80,-0.61,-10.11,3.48,1.02,-12.13,9.29
80,160,80,-9.85,-2.35,3.48,11.64,1.16,9.29
160,160,80,-5.11,8.74,3.48,3.30,10.76,9.29
0,0,160,-3.95,-8.64,4.64,-1.52,6.94,14.98
80,0,160,-9.42,1.27,4.64,-8.28,-0.92,14.98
160,0,160,-1.53,9.38,4.64,-1.94,-9.03,14.98
0,80,160,-1.89,-9.55,5.41,1.23,-8.94,14.98
80,80,160,-9.68,-0.97,5.41,10.07,-1.38,14.98
160,80,160,-3.74,8.98,5.41,1.35,7.59,14.98
0,160,160,-0.61,-10.11,3.48,1.28,-12.32,-1.47
80,160,160,-9.85,-2.35,3.48,11.60,-1.15,-1.47
160,160,160,-5.11,8.74,3.48,3.51,10.60,-1.47

